id,best,avg,entryyear,modul,weighted ,degree,between,pagerank,cluster
1000,23,48.3,1997,3,4.1588830834,6,846.119856127,0.0021211579,0.1333333333
1014,17,46.142857,2000,0,19.6969316415,19,2789.6925496563,0.0044547483,0.1228070175
1015,92,96,2001,3,33.2076546591,29,3344.8661564547,0.0064145049,0.1354679803
1016421,37,58.5,2012,2,22.8575455027,11,254.0253275815,0.0023737609,0.7090909091
1016605,13,24.333334,2010,6,21.2777047279,13,986.862230797,0.0036318243,0.141025641
1026307,87,87,2010,6,11.4620531346,5,4.6777151678,0.0016295191,0.6
10267,31,52,1997,0,0,0,0,0.0003438001,0
103545,39,39,2006,4,0.6931471806,1,0,0.0006091327,0
10435,1,16.875,1997,6,5.5451774445,6,322.153445755,0.0018294125,0.4
1049,1,17.863636,1997,6,38.2921537549,20,3941.1609454798,0.0053771318,0.1421052632
1051979,66,77.71429,2012,2,23.5329931061,12,305.1732026152,0.0025808567,0.6212121212
1060,50,70.5,1997,0,8.9587973462,5,92.6904238289,0.0015698201,0.4
10631,10,26.11111,1999,6,0.6931471806,1,0,0.0006600864,0
1063698,56,62,2010,8,12.6476768003,10,650.4518487001,0.0027926646,0.2666666667
106457,68,79.5,2014,0,0,0,0,0.0003438001,0
10724,93,93,2000,0,0,0,0,0.0003438001,0
10754,87,87.5,2008,6,20.9809471535,14,1970.9142421945,0.0037850608,0.2527472527
108020,26,53,2006,0,0,0,0,0.0003438001,0
108385,35,47.75,2005,0,0,0,0,0.0003438001,0
10898,10,28.11111,2006,8,27.3308759083,19,5339.452289458,0.0047481208,0.0935672515
10927,77,83,2004,6,42.6837367763,19,2588.1315746971,0.005559386,0.1988304094
10928,45,64,2003,6,35.6010312282,17,1881.4727639337,0.0047007191,0.2720588235
109479,61,77.5,2004,2,20.1924254882,13,336.1388417242,0.0027853052,0.5512820513
1095210,40,67.85714,2011,8,9.9396265992,11,203.3192390804,0.0024694003,0.4909090909
1100480,86,86,2010,8,6.9847163201,4,87.1006946936,0.0011673608,0.3333333333
1102,92,92,1997,3,1.3862943611,2,0,0.0010663637,1
11101,19,62.909092,2003,6,45.5593904513,20,2225.8336209511,0.0058774674,0.1947368421
1114,87,87,1997,3,6.3561076607,6,123.7702462475,0.0015845421,0.2666666667
11146,37,60.4,1997,5,6.2915691396,5,316.1388401377,0.0019681757,0.6
1117982,69,80.333336,2012,0,0,0,0,0.0003438001,0
1120960,65,65,2017,2,16.9537418941,9,13.0264543145,0.0020501431,0.8611111111
1138200,65,74,2011,6,20.3838868518,8,869.1172057264,0.0024291541,0.3571428571
11399,41,55,2004,6,2.0794415417,3,78.2056148046,0.0012923781,0
1142687,33,50.333332,2016,8,10.4504522229,11,445.727427774,0.002539197,0.4181818182
11432,61,68.5,1997,1,18.9874110039,8,9.4682527604,0.0022832407,0.7857142857
11434,82,86,1997,1,13.5525445125,7,9.0515860937,0.0020413946,0.8095238095
114449,59,67,1997,0,3.1780538304,4,86.502710559,0.0012335834,0.1666666667
11475,90,91.5,2004,0,0,0,0,0.0003438001,0
11583,61,61,1997,7,1.0986122887,1,0,0.0006224957,0
11584,72,72,2000,1,3.4657359028,5,0,0.0015357893,1
116641,55,55,2006,0,0,0,0,0.0003438001,0
117051,99,99,2007,4,4.5643481915,6,114.1302262436,0.0015750946,0.4
11706,27,47.857143,1999,7,16.1258352231,12,1531.509173623,0.0039313899,0.1363636364
117914,76,76,2007,3,3.295836866,3,54.2468773173,0.0010212354,0
11887,86,86,2006,6,30.5499393699,13,752.238556748,0.003679841,0.3076923077
11909,30,50,2008,3,13.9570101202,12,1615.1320407795,0.0032902552,0.196969697
1196,78,78,1997,0,6.3561076607,6,595.4524839114,0.0017091802,0
119708,81,81,1998,0,0,0,0,0.0003438001,0
11978,53,53,1998,0,0,0,0,0.0003438001,0
119945,36,63.833332,2011,2,48.8129485503,18,1410.4696824538,0.0037273165,0.3790849673
1213624,34,51.5,2014,8,5.9506425526,8,20.0124035936,0.001809871,0.6785714286
1215260,88,88,2014,6,12.7556380976,8,816.1888596309,0.0023399996,0.2142857143
12206,88,88,1997,3,6.2915691396,6,139.044918686,0.0019319243,0.2666666667
12236,15,37.88889,2001,6,25.6633646688,14,3601.6421989325,0.0038280634,0.1868131868
12285,4,40.285713,1997,3,23.1626675443,18,2700.6333096017,0.0047053395,0.0980392157
1229555,7,24.571428,2012,8,42.0174008532,27,4522.424079889,0.0057000356,0.2307692308
1233,22,43,2006,4,5.257495372,7,229.1380991989,0.0018091186,0.0476190476
12344,45,45,1998,0,8.1478671299,7,76.447368045,0.0019087532,0.4761904762
1235958,3,13.111111,2010,8,22.133464707,12,305.7413707563,0.0027808262,0.3939393939
1239457,73,73,1999,0,0,0,0,0.0003438001,0
1239503,62,75.6,2009,6,14.9220910163,7,140.6532772121,0.0022254058,0.380952381
1243559,89,89,2005,0,0,0,0,0.0003438001,0
1244,9,60,1997,1,18.8059431447,12,462.4617336258,0.0029152355,0.3484848485
12458,67,80.5,2008,7,6.3561076607,6,880.8911611437,0.0020127539,0.2
1249260,85,85,2012,0,0,0,0,0.0003438001,0
125548,45,81.2,2004,3,6.6846117277,5,190.0789238171,0.0014563758,0.5
