Sasha & Tiësto community	Sasha	1997
Sasha & Tiësto community	Tiësto	2000
Hardwell community	Hardwell	2011
Carl Cox community	Carl Cox	1997
David Guetta community	David Guetta	2005
Paul van Dyk & John Digweed community	Paul van Dyk	1997
Paul van Dyk & John Digweed community	John Digweed	1997
Armin Van Buuren & Paul Oakenfold community	Armin Van Buuren	2001
Armin Van Buuren & Paul Oakenfold community	Paul Oakenfold	1997
Martin Garrix & Dimitri Vegas & Like Mike community	Dimitri Vegas & Like Mike	2011
Martin Garrix & Dimitri Vegas & Like Mike community	Martin Garrix	2013
